scene,training_time,num_gaussians,memory,train_psnr,train_ssim,train_lpips,val_psnr,val_ssim,val_lpips,ATE,RTE
bicycle,236.84255123138428,1000000,5.5241923332214355,27.926822662353516,0.9200541377067566,0.06397733837366104,14.959144592285156,0.32910534739494324,0.3913155198097229,0.010728187560525397,0.5679576064770421
drjohnson,203.1809220314026,1000000,8.905842781066895,36.750328063964844,0.9775853753089905,0.019158465787768364,15.756040573120117,0.28945034742355347,0.6854088306427002,0.18155957077886992,9.245769023895264
stump,218.02067732810974,1000000,8.905842781066895,30.84892463684082,0.93507981300354,0.06220908835530281,16.64333152770996,0.23736357688903809,0.38757598400115967,0.028138577001846472,0.9125438117318683
bonsai,244.19007015228271,1000000,7.384074687957764,30.01217269897461,0.9461167454719543,0.049202434718608856,22.567298889160156,0.6359708309173584,0.17266696691513062,0.025300071237420334,1.4300436774889629
garden,265.54777240753174,1000000,8.218827724456787,30.86163330078125,0.9390288591384888,0.0405849814414978,21.920700073242188,0.6283248662948608,0.1593802571296692,0.0034417167781628996,0.33158766975005466
room,226.70910811424255,1000000,8.905842781066895,35.01793670654297,0.9668358564376831,0.021418044343590736,23.786334991455078,0.7687181234359741,0.13716435432434082,0.01380120782060142,0.622885734670692
android,274.39701080322266,1000000,9.39743709564209,30.429874420166016,0.9574329853057861,0.03624843433499336,18.47473907470703,0.5649243593215942,0.3420785069465637,0.013207451902342958,0.765677379237281
counter,263.2921419143677,1000000,8.218827724456787,33.9243278503418,0.9656907320022583,0.02092735283076763,20.229440689086914,0.652722954750061,0.18477347493171692,0.0077236036000549475,0.6712285545137193
crab1,289.1999113559723,1000000,9.39743709564209,30.2718448638916,0.9495774507522583,0.05889645591378212,23.53850555419922,0.7660298347473145,0.18970784544944763,0.009501154912911806,2.3574290143118963
playroom,209.6213195323944,1000000,8.905842781066895,36.23165512084961,0.9779413342475891,0.017731009051203728,18.589664459228516,0.6458342671394348,0.2946065068244934,0.054015406420881665,1.5848669558763504
kitchen,261.24470829963684,1000000,8.218827724456787,31.75539207458496,0.9558703303337097,0.027416206896305084,21.549091339111328,0.6720622777938843,0.1608532965183258,0.008927448557237134,0.5854259067111545
truck,245.52545857429504,1000000,9.39743709564209,29.186296463012695,0.9500725269317627,0.03039374388754368,16.551620483398438,0.4851151704788208,0.3093258738517761,0.007569005023297641,0.4218156598508358
crab2,285.8506603240967,1000000,9.39743709564209,34.40245056152344,0.9723305106163025,0.032631050795316696,18.683929443359375,0.6776944994926453,0.32089659571647644,0.022373222126951583,2.2505771385298834
yoda,291.4766294956207,1000000,9.39743709564209,32.86586380004883,0.9703073501586914,0.04915285483002663,19.33551788330078,0.7653865814208984,0.27701276540756226,0.02571338222084586,1.510813562406434
statue,277.1102252006531,1000000,9.39743709564209,28.083070755004883,0.9355604648590088,0.06887738406658173,17.33279800415039,0.5738430023193359,0.3591698706150055,0.006695221643950089,0.3182590748700831
train,247.26561903953552,1000000,9.39743709564209,30.30156135559082,0.9579760432243347,0.028650939464569092,17.509613037109375,0.6061011552810669,0.24014443159103394,0.0078067809710970605,0.6470085254145993
AVG,252.46717411279678,1000000.0,8.685636311769485,31.80438470840454,0.9548412822186947,0.03921723656821996,19.214235663414,0.581165449693799,0.2882550675421953,0.026656375534812326,1.5139930809835078
