scene,training_time,num_gaussians,memory,train_psnr,train_ssim,train_lpips,val_psnr,val_ssim,val_lpips,ATE,RTE
bicycle,152.14584350585938,1011051,9.210902690887451,19.932167053222656,0.6177797913551331,0.36496978998184204,22.268070220947266,0.6391340494155884,0.32962164282798767,0.004741446219009366,0.40872363144553253
drjohnson,104.3440408706665,123233,9.922008037567139,16.242094039916992,0.49940213561058044,0.764054536819458,14.966330528259277,0.4598826766014099,0.7759867310523987,0.08821210743926845,4.993219006743471
stump,130.4364070892334,546056,9.922008037567139,20.295801162719727,0.546375572681427,0.4564761221408844,21.33013916015625,0.4729490578174591,0.37307003140449524,0.012249368761756172,0.59378570251699
bonsai,132.55860137939453,432609,9.574489116668701,21.635400772094727,0.7240119576454163,0.28366321325302124,20.59362030029297,0.666840136051178,0.2913356423377991,0.004778739128613113,0.8817582480780041
garden,145.48904395103455,629985,9.574489116668701,22.69814682006836,0.7081204652786255,0.2554287016391754,19.950864791870117,0.4739335775375366,0.28896015882492065,0.0015803371433447966,0.4474948933684682
room,124.40303349494934,401750,9.922008037567139,25.3064022064209,0.8243961930274963,0.19438190758228302,24.290740966796875,0.8081165552139282,0.20756401121616364,0.007233652829763299,0.6916134771373537
android,141.28881430625916,474592,9.922008037567139,21.711809158325195,0.7648806571960449,0.23809415102005005,21.145130157470703,0.7390480637550354,0.24714983999729156,0.009511832763843455,0.5676912375552169
counter,129.62500262260437,453214,9.574489116668701,25.117752075195312,0.818027913570404,0.14764241874217987,24.5784969329834,0.7918477058410645,0.15823706984519958,0.004517458102269157,0.6326263922232168
crab1,116.6159143447876,189635,9.922008037567139,24.309982299804688,0.8573170900344849,0.21334701776504517,23.35538673400879,0.8376972675323486,0.2219228744506836,0.011091135172630917,1.6299944571219385
playroom,108.24593091011047,256335,9.922008037567139,20.2817325592041,0.726499617099762,0.4304077923297882,20.931808471679688,0.7411807775497437,0.41106483340263367,0.051886754377345405,2.264105946526374
kitchen,156.53936195373535,640516,9.574489116668701,22.794212341308594,0.784220278263092,0.17688681185245514,21.475269317626953,0.6764184832572937,0.20036594569683075,0.005357836161771773,0.42617577528098666
truck,144.21778440475464,517701,9.922008037567139,20.1612548828125,0.7571987509727478,0.2067638337612152,18.977296829223633,0.7205259203910828,0.23351703584194183,0.004924593159763908,0.4603724780513181
crab2,130.11800813674927,161902,16.484021186828613,24.17050552368164,0.8343905210494995,0.2264881432056427,23.91217613220215,0.828957736492157,0.23488767445087433,0.014656457199161812,2.4183705455548052
statue,153.24729919433594,414879,16.484021186828613,19.141342163085938,0.7256667017936707,0.27879586815834045,18.897249221801758,0.7082761526107788,0.27834299206733704,0.0072631208007746546,0.3315504173730717
train,132.14976572990417,340986,9.922008037567139,19.905879974365234,0.6741628050804138,0.3079000413417816,18.1514835357666,0.6298140287399292,0.3420199453830719,0.005597404180669094,0.5923706246195016
AVG,133.42832345962523,439629.6,10.656864388783772,21.580298868815103,0.7241633633772532,0.30302002330621086,20.988270886739095,0.6796414792537689,0.3062697619199753,0.015573482895999023,1.1559901889064166
